area,bedrooms,location,price
150,5,"Quận 1, Hồ Chí Minh",75
89,8,"Quận Phú Nhuận, Hồ Chí Minh",28.5
102,25,"Quận 1, Hồ Chí Minh",49
264,2,"Quận 2, Hồ Chí Minh",105
724,15,"Quận Phú Nhuận, Hồ Chí Minh",222
140,2,"Quận 10, Hồ Chí Minh",80
150,23,"Quận Bình Thạnh, Hồ Chí Minh",39
46,2,"Quận 12, Hồ Chí Minh",4.98
23,3,"Quận Gò Vấp, Hồ Chí Minh",3.48
18,2,"Quận Tân Bình, Hồ Chí Minh",2.648
80,3,"Quận Gò Vấp, Hồ Chí Minh",7.99
78,6,"Quận Gò Vấp, Hồ Chí Minh",21.28
57,3,"Quận Tân Bình, Hồ Chí Minh",14.98
60,3,"Quận Bình Thạnh, Hồ Chí Minh",10.98
44,3,"Quận Gò Vấp, Hồ Chí Minh",5.58
100,3,"Quận 12, Hồ Chí Minh",6.88
89,6,"Quận 10, Hồ Chí Minh",45
600,1,"Quận 8, Hồ Chí Minh",75
147,8,"Quận 5, Hồ Chí Minh",66
50,3,"Quận Tân Bình, Hồ Chí Minh",8.88
69,1,"Quận Tân Bình, Hồ Chí Minh",7.09
69,4,"Quận Tân Bình, Hồ Chí Minh",15.98
26,3,"Quận Bình Thạnh, Hồ Chí Minh",4.44
75,2,"Quận Tân Bình, Hồ Chí Minh",5.18
95,4,"Quận 12, Hồ Chí Minh",4.49
180,7,"Quận Tân Bình, Hồ Chí Minh",5.49
56,2,"Quận 12, Hồ Chí Minh",2.98
80,3,"Quận Gò Vấp, Hồ Chí Minh",6.19
200,1,"Huyện Hóc Môn, Hồ Chí Minh",6.4
50,4,"Quận 12, Hồ Chí Minh",5.5
39,5,"Quận 11, Hồ Chí Minh",6.5
39,4,"Quận 11, Hồ Chí Minh",10.5
51,5,"Quận 11, Hồ Chí Minh",8.8
18,3,"Quận 11, Hồ Chí Minh",4.98
54,6,"Quận 11, Hồ Chí Minh",9.7
57,4,"Quận 11, Hồ Chí Minh",9.9
40,7,"Quận 11, Hồ Chí Minh",8.8
17.4,2,"Quận 11, Hồ Chí Minh",2.85
68.3,4,"Quận 5, Hồ Chí Minh",13.5
30,3,"Quận 11, Hồ Chí Minh",5.7
32,2,"Quận 11, Hồ Chí Minh",5.35
30,2,"Quận 11, Hồ Chí Minh",5.5
40,5,"Quận 11, Hồ Chí Minh",7.3
52,5,"Quận 11, Hồ Chí Minh",7.5
65,2,"Quận 11, Hồ Chí Minh",12
29,2,"Quận 11, Hồ Chí Minh",8.8
46,3,"Quận 11, Hồ Chí Minh",7.8
27,3,"Quận 11, Hồ Chí Minh",6.8
54,4,"Quận 11, Hồ Chí Minh",13.5
49,6,"Quận 11, Hồ Chí Minh",17.5
66,15,"Quận 11, Hồ Chí Minh",10.5
34,3,"Quận 11, Hồ Chí Minh",8.4
147,3,"Quận 11, Hồ Chí Minh",8.4
36,3,"Quận 11, Hồ Chí Minh",5.9
30,3,"Quận 11, Hồ Chí Minh",6.9
44,7,"Quận 11, Hồ Chí Minh",8.8
57,5,"Quận 11, Hồ Chí Minh",8.9
14,1,"Quận 11, Hồ Chí Minh",1.95
44,2,"Quận 11, Hồ Chí Minh",5.2
36,2,"Quận 11, Hồ Chí Minh",5
33,3,"Quận 11, Hồ Chí Minh",6.2
111,6,"Quận 11, Hồ Chí Minh",42
39,3,"Quận 11, Hồ Chí Minh",6
